"ID",Status,Supplier,LogP_exp,pH of analysis,smiles
ZINC00822179,Validated,Vitas‐M,5.04,8,CC(=O)N[C@@H](C(Cl)(Cl)Cl)Nc1c(c2c(s1)CCCC2)C(=O)OC
ZINC00826061,Validated,ChemBridge,4.48,5,CCCS(=O)(=O)c1c2c3ccccc3ccn2c(c1S(=O)(=O)CCC)C(=O)c4ccccc4
ZINC00030240,Validated,ChemBridge,3.95,5,c1ccc2c(c1)C(c3ccccc3O2)C(=O)NC4CCCC4
ZINC00845130,Validated,Vitas‐M,6.53,5,Cc1c(c(n(n1)CC(=O)Nc2c(c3c(s2)C[C@H](CC3)C(C)(C)C)C(=O)OC)C)[N+](=O)[O-]
ZINC00859208,Validated,ChemBridge,4.22,5,CCc1ccc(cc1)OCC(=O)NCCc2ccc(c(c2)OC)OC
ZINC00861016,Validated,Specs,5.77,5,COc1ccc(cc1)[C@@H]2CC3=C([C@H](c4c5ccccc5ccc4N3)c6ccc7c(c6)OCO7)C(=O)C2
ZINC00045256,Validated,ChemBridge,3.72,2,c1cc2c(cc1/C=C/C(=O)Nc3ccc4c(c3)OCO4)OCO2
ZINC00894471,Validated,Asinex,5.13,5,CC(=O)Oc1cccc(c1)N2C(=O)c3ccc(cc3C2=O)C(=O)c4ccc5c(c4)C(=O)N(C5=O)c6cccc(c6)OC(=O)C
ZINC00915416,Validated,ChemBridge,4.85,5,Cc1ccc(cc1Cl)NC(=O)CSc2nnc(o2)Cc3ccccc3
ZINC00937066,Validated,ChemBridge,5.64,5,CCOc1ccc(cc1)NC=C(S(=O)(=O)c2ccc(cc2)C)S(=O)(=O)c3ccc(cc3)C
ZINC00937421,Validated,Ambinter,5.58,10,c1ccc(cc1)c2cc(n(n2)c3ccc(cc3)/C=N/n4cnnc4)c5ccccc5
ZINC00944011,Validated,ChemBridge,3.42,"6,5",N1C(=O)C(CC(=O)Nc2c(cccc2)NC(=O)CC2C(=O)Nc3ccccc3N2)Nc2c1cccc2
ZINC00944678,Validated,ChemBridge,5.16,5,Cc1c(sc2c1c(=O)n(c(n2)SCC(=O)N3CCCC3)C4CCCCC4)C
ZINC02558386,Validated,ChemBridge,1.55,"7,3",COc1cccc(c1)Cn2cc(cn2)N
ZINC00953339,Validated,Life Chemicals,3.89,5,Cc1c(c(=O)n(n1C)c2ccccc2)NC(=O)[C@@H]3CCCCN3S(=O)(=O)c4ccc(cc4)Cl
ZINC00959448,Validated,ChemBridge,6.08,5,CS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])SCC(=O)Oc2ccc(cc2)C3CCCCC3
ZINC00738600,Validated,Vitas‐M,4.16,"7,3",Cc1ccccc1C(=O)N2CCN(CC2)c3ccc(cc3)NC(=O)c4c(cccc4OC)OC
ZINC00435005,Validated,ChemBridge,4.14,5,Cc1cccc(c1)C(=O)Nc2ccc(c(c2)C)NC(=O)c3ccccc3
ZINC04754751,Validated,ChemBridge,5.07,"6,5",CC/C(=N\N=C/1\N(C(=O)[C@@H](S1)C)Cc2ccco2)/c3ccccc3
ZINC00970310,Validated,Vitas‐M,2.77,5,Cn1c(c(cn1)Cl)c2nc(no2)c3c(non3)N
ZINC00974316,Validated,ChemBridge,1.48,5,C1[C@@H]2C=C[C@H]1[C@H]3[C@@H]2[C@@H]4CO[C@H](C3=O)O4
ZINC00977288,Validated,Specs,4.62,5,Cc1c(c2ccccc2n1CC=C)C=C3C(=O)OC4(CCCCC4)OC3=O
ZINC00985518,Validated,Specs,5.72,5,CC1(CC2=C(C(C3=C(N2c4ccc(cc4)OC)CC(CC3=O)(C)C)c5ccc6c(c5)OCO6)C(=O)C1)C
ZINC00985529,Validated,Specs,5.35,"10,5",CCn1cc(c(n1)C)C2C3=C(CC(CC3=O)(C)C)N(C4=C2C(=O)CC(C4)(C)C)c5ccc(cc5)C
ZINC00986515,Validated,Specs,4.18,"6,5",c1ccc(cc1)Oc2ccc(cc2)NC(=S)N3CCN(CC3)C(=O)[C@H]4CCCO4
ZINC00989373,Validated,Specs,4.25,"10,5",COC(=O)CC1=C([C@@]2(c3ccccc3NC2=O)C(=C(O1)N)C(=O)OCc4ccccc4)C(=O)OC
ZINC18247170,Validated,Vitas‐M,5.29,5,C[C@@H]1C=CC[C@H]2[C@@H]1C(=O)N(C2=O)c3cccc(c3)C(=O)OCC(=O)c4ccc(cc4)Br
ZINC00996595,Validated,ChemBridge,5.5,5,COc1ccc(cc1COCC(F)(F)F)[C@@H]2[C@@H]3CCCC=C3C(=C(C2(C#N)C#N)N)C#N
ZINC00997514,Validated,Specs,5.47,"6,5",CCN(CC)C(=O)c1c(c(c(s1)NC(=O)c2cc(cc(c2)OC)OC)C(=O)OC)C
ZINC00865825,Validated,ChemBridge,4.47,5,c1cc(sc1)[C@@H]2C[C@H](n3c(c(c(n3)C(=O)N4CCCC4)Br)N2)C(F)(F)F
ZINC01010117,Validated,Specs,4.99,"10,5",N1(c2ccccc2)C(=O)C(Sc2c(c(c(c(n2)N)C#N)c2ccc(cc2)C)C#N)C(=N1)C
ZINC01016887,Validated,Specs,2.09,5,CCc1c(c(=O)n2c(c(sc2n1)C#N)N)C#N
ZINC18154892,Validated,Vitas‐M,5.98,10,CSc1ccc(cc1)[C@@H]2[C@@H]3[C@@H](C(=O)N(C3=O)c4cccc(c4)C(F)(F)F)ON2c5ccccc5
ZINC18154892,Validated,Vitas‐M,5.98,10,CSc1ccc(cc1)[C@@H]2[C@H]3[C@@H](C(=O)N(C3=O)c4cccc(c4)C(F)(F)F)ON2c5ccccc5
ZINC01022216,Validated,Specs,6.85,5,C#Cc1cccc(c1)NC(=O)c2cc(cc(c2)N3C(=O)c4ccccc4C3=O)C(=O)Nc5cccc(c5)C#C
ZINC01022529,Validated,Chemical Block,5.26,5,Cc1ccc(c(c1)NC(=O)[C@H]2CC3c4ccccc4C2c5c3cccc5)C
ZINC00035148,Validated,ChemBridge,1.88,5,c1cc(c(c(c1)F)C(=O)N2CCCC2)F
ZINC03298278,Validated,Enamine,2.75,5,C[C@H](C(=O)N)OC(=O)c1cccc(c1)C(F)(F)F
ZINC01027811,Validated,Maybridge,3.53,5,CCOC(=O)c1cnn(c1N)C(=O)c2cnn(c2C(F)(F)F)c3ccc(cc3)[N+](=O)[O-]
ZINC04324659,Validated,Maybridge (Chemie Brunschwig),4.92,"10,5",c1ccc2c(c1)cc(s2)C(=O)N3CCCN(CC3)c4ccc(c[nH+]4)C(F)(F)F
ZINC01034232,Validated,Maybridge (Ryan Scientific),5.47,"6,5",c1ccc2c(c1)CC(C2)n3c(nnc3SCC(=O)c4ccc5c(c4)OCCO5)OCC(=O)c6ccc(cc6)F
ZINC01036174,Validated,Maybridge (Chemie Brunschwig),6.14,"6,5",Cc1ccc(cc1)N2CC(=O)N(CC2=O)/N=C/c3cn(nc3c4ccc(cc4)Cl)c5ccccc5
ZINC01037611,Validated,Maybridge,5.51,5,CSc1c(c(n2c(n1)c(c(n2)SC)C#N)c3ccc(cc3)Cl)C#N
ZINC01038169,Validated,Maybridge,3.11,5,CN1c2ccccc2-c3c(c(sc3C(=O)N4CCOCC4)SC)S1(=O)=O
ZINC00031483,Validated,ChemBridge,3.19,"7,3",Cc1cccc(c1C)NC(=O)CSc2ccccn2
ZINC01038287,Validated,Maybridge,5.87,"7,3",CSc1c-2c(c(s1)C(=O)Nc3ccc(cc3)Cl)CCc4c2nc(nc4)SC
ZINC01038638,Validated,Maybridge (Chemie Brunschwig),6.72,5,CCOC(=O)C1=C(C(=O)N(C1)C(C)(C)C)Nc2ccc(cc2)OC(=O)Nc3ccc(cc3)OC(F)(F)F
ZINC01040115,Validated,Maybridge,3.68,"7,3",Cn1c(nnc1SCc2cc(cc(c2)F)F)c3ccc4c(c3)non4
ZINC00052373,Validated,ChemBridge,3.47,5,C[C@]12c3cc(c(cc3CCN1C(=O)OC24CCCCC4)OC)OC
